"nct_id","phase","overall_status","enrollment","start_date"
NCT06757114,,NOT_YET_RECRUITING,200,2025-01-01
NCT05001724,PHASE2/PHASE3,TERMINATED,16,2021-10-28
NCT01297491,PHASE2,COMPLETED,63,2011-05-31
NCT07058519,PHASE2,RECRUITING,250,2025-09-23
NCT04897386,PHASE2,UNKNOWN,30,2021-06-01
NCT05616624,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,31,2023-04-05
NCT00283634,PHASE2,TERMINATED,,2005-08-31
NCT03927573,PHASE1,TERMINATED,23,2019-04-15
NCT00758134,PHASE2,TERMINATED,9,2008-07-31
NCT03347838,PHASE2,ACTIVE_NOT_RECRUITING,19,2019-01-30
NCT03207867,PHASE2,TERMINATED,315,2017-08-28
NCT05765877,PHASE2,RECRUITING,26,2023-03-01
NCT00423449,PHASE1,COMPLETED,61,2007-03-31
NCT05034055,PHASE2,UNKNOWN,45,2021-12-31
NCT03830411,PHASE2,UNKNOWN,76,2019-03-13
NCT03563716,PHASE2,COMPLETED,135,2018-08-10
NCT06427941,PHASE1,RECRUITING,392,2024-07-23
NCT05546866,PHASE2,ACTIVE_NOT_RECRUITING,51,2023-02-09
NCT07563738,PHASE1/PHASE2,RECRUITING,229,2026-03-27
NCT06260553,PHASE2,UNKNOWN,40,2024-02-07
NCT00840125,PHASE2,COMPLETED,4,2009-02-28
NCT03923777,NA,UNKNOWN,26,2018-07-31
NCT02507375,PHASE1,COMPLETED,17,2006-09-30
NCT02978196,EARLY_PHASE1,COMPLETED,34,2018-02-15
NCT02481661,PHASE3,UNKNOWN,610,2015-07-31
NCT01045421,PHASE1/PHASE2,COMPLETED,273,2010-02-28
NCT05532527,NA,UNKNOWN,35,2022-09-20
NCT05215548,PHASE2,ACTIVE_NOT_RECRUITING,100,2021-09-27
NCT07528066,,RECRUITING,200,2026-03-02
NCT00283478,NA,COMPLETED,20,2004-05-31
NCT06046495,PHASE1,RECRUITING,81,2024-07-08
NCT02599454,PHASE1,COMPLETED,20,2018-04-26
NCT04035486,PHASE3,ACTIVE_NOT_RECRUITING,587,2019-07-02
NCT02562027,NA,COMPLETED,217,2015-09-11
NCT01646125,PHASE2,TERMINATED,59,2012-11-23
NCT07498933,,RECRUITING,200,2025-06-03
NCT07646288,NA,RECRUITING,40,2025-12-01
NCT00352950,PHASE1,WITHDRAWN,0,2006-03-31
NCT05159518,PHASE1,COMPLETED,30,2022-02-14
NCT04444427,PHASE1/PHASE2,COMPLETED,19,2020-07-15
NCT07035444,NA,NOT_YET_RECRUITING,126,2025-06-30
NCT03735628,PHASE1,COMPLETED,16,2018-10-17
NCT06416852,PHASE3,NOT_YET_RECRUITING,428,2024-08-31
NCT00642759,PHASE2,COMPLETED,36,2008-04-30
NCT01727076,PHASE1,COMPLETED,20,2013-02-15
NCT03447678,PHASE2,UNKNOWN,65,2018-05-23
NCT01755923,PHASE2,UNKNOWN,60,2012-12-31
NCT00655850,PHASE2,COMPLETED,39,2008-03-31
NCT05033691,NA,RECRUITING,162,2021-03-09
NCT06128551,PHASE1/PHASE2,RECRUITING,534,2023-11-14
NCT05014464,PHASE2,RECRUITING,90,2021-11-13
NCT07141563,,COMPLETED,70,2025-05-26
NCT06116019,,RECRUITING,649,2023-10-11
NCT06343402,PHASE1,RECRUITING,350,2024-05-22
NCT05870319,PHASE3,ACTIVE_NOT_RECRUITING,376,2023-06-26
NCT04670107,PHASE1/PHASE2,COMPLETED,30,2018-06-01
NCT04871997,,COMPLETED,373,2019-07-12
NCT07283198,PHASE2,NOT_YET_RECRUITING,160,2025-12-10
NCT00599755,PHASE1,COMPLETED,68,2009-01-01
NCT03425331,PHASE2,TERMINATED,5,2018-04-10
NCT00291850,PHASE2,TERMINATED,50,2005-06-30
NCT04881916,,ACTIVE_NOT_RECRUITING,100,2021-12-01
NCT07498439,EARLY_PHASE1,NOT_YET_RECRUITING,50,2026-03-31
NCT02388919,PHASE2/PHASE3,COMPLETED,439,2015-02-26
NCT06120283,PHASE1,RECRUITING,399,2023-12-01
NCT02515435,PHASE2,UNKNOWN,40,2015-01-01
NCT00137839,PHASE2,COMPLETED,84,2004-11-30
NCT06114511,PHASE1/PHASE2,RECRUITING,98,2024-04-24
NCT05397093,PHASE1,TERMINATED,1,2022-08-24
NCT07390838,PHASE1,RECRUITING,150,2025-05-16
NCT04248829,PHASE3,COMPLETED,393,2020-02-13
NCT03732001,PHASE2,UNKNOWN,80,2018-11-08
NCT06040541,PHASE1,RECRUITING,604,2023-09-07
NCT03829501,PHASE1/PHASE2,TERMINATED,222,2019-01-28
NCT05741021,PHASE2,UNKNOWN,84,2023-03-01
NCT06621563,PHASE1,RECRUITING,780,2024-12-14
NCT07652125,NA,RECRUITING,40,2025-10-25
NCT03654027,PHASE2,UNKNOWN,84,2018-10-01
NCT07559123,,RECRUITING,150,2026-02-01
NCT03130764,PHASE2,WITHDRAWN,0,2017-03-31
NCT05566223,PHASE1/PHASE2,WITHDRAWN,0,2023-02-28
NCT06943820,PHASE1/PHASE2,RECRUITING,230,2025-05-21
NCT00368992,PHASE2,COMPLETED,110,2006-08-31
NCT03819387,PHASE1,COMPLETED,49,2019-03-18
NCT00019006,PHASE1,COMPLETED,,1995-03-31
NCT05123482,PHASE1/PHASE2,RECRUITING,460,2021-10-18
NCT04459663,PHASE2,UNKNOWN,50,2020-08-31
NCT00285675,PHASE2,UNKNOWN,25,2006-04-30
NCT03023904,PHASE2,WITHDRAWN,0,2017-12-29
NCT05160922,PHASE4,ACTIVE_NOT_RECRUITING,27,2021-12-27
NCT05299125,PHASE2,ACTIVE_NOT_RECRUITING,54,2023-05-24
NCT04146064,,COMPLETED,190,2020-02-24
