"nct_id","phase","overall_status","enrollment","sponsor_name"
NCT00388206,,COMPLETED,3998,"Genentech, Inc."
NCT03366480,PHASE1/PHASE2,COMPLETED,103,Ability Pharmaceuticals SL
NCT02835833,PHASE1,COMPLETED,21,University of Alabama at Birmingham
NCT07250477,PHASE2,RECRUITING,56,"University of California, Davis"
NCT00826033,,COMPLETED,,Gunma University
NCT06329895,PHASE1,COMPLETED,15,Bayer
NCT06757114,,NOT_YET_RECRUITING,200,Second Affiliated Hospital of Xi'an Jiaotong University
NCT01131234,PHASE1,COMPLETED,20,National Cancer Institute (NCI)
NCT05001724,PHASE2/PHASE3,TERMINATED,16,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd"
NCT01297491,PHASE2,COMPLETED,63,Novartis Pharmaceuticals
NCT04249362,PHASE2,COMPLETED,102,AstraZeneca
NCT07402070,PHASE2,NOT_YET_RECRUITING,10,Innovent Biologics (Suzhou) Co. Ltd.
NCT07058519,PHASE2,RECRUITING,250,Shanghai Chest Hospital
NCT05616624,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,31,Washington University School of Medicine
NCT03927573,PHASE1,TERMINATED,23,AvenCell Europe GmbH
NCT04941365,NA,WITHDRAWN,0,Institut du Cancer de Montpellier - Val d'Aurelle
NCT00367679,PHASE2,COMPLETED,35,GlaxoSmithKline
NCT00758134,PHASE2,TERMINATED,9,"Armando Santoro, MD"
NCT03594747,PHASE3,COMPLETED,360,BeiGene
NCT03347838,PHASE2,ACTIVE_NOT_RECRUITING,19,"University of Colorado, Denver"
NCT02439450,PHASE1/PHASE2,COMPLETED,121,Heat Biologics
NCT01642004,PHASE3,COMPLETED,272,Bristol-Myers Squibb
NCT05894889,PHASE2,ACTIVE_NOT_RECRUITING,70,Peking University
NCT01225302,PHASE1,COMPLETED,12,AbbVie
NCT05765877,PHASE2,RECRUITING,26,Pingping Song
NCT00423449,PHASE1,COMPLETED,61,Merck Sharp & Dohme LLC
NCT06958614,,COMPLETED,213,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences"
NCT05034055,PHASE2,UNKNOWN,45,Yonsei University
NCT02349412,PHASE3,COMPLETED,405,Alliance for Clinical Trials in Oncology
NCT03830411,PHASE2,UNKNOWN,76,Xin-Hua Xu
NCT04646824,PHASE2,UNKNOWN,10,Tianjin Medical University Cancer Institute and Hospital
NCT07343479,PHASE2,NOT_YET_RECRUITING,45,Zhejiang Cancer Hospital
NCT05269485,PHASE1/PHASE2,UNKNOWN,36,Anhui Provincial Hospital
NCT03563716,PHASE2,COMPLETED,135,"Genentech, Inc."
NCT06348888,PHASE1,COMPLETED,30,Bayer
NCT07043907,PHASE2,NOT_YET_RECRUITING,115,"Shenzhen Celconta Life Science Co., Ltd."
NCT06427941,PHASE1,RECRUITING,392,BeOne Medicines
NCT03006575,PHASE2,UNKNOWN,57,Sun Yat-sen University
NCT05546866,PHASE2,ACTIVE_NOT_RECRUITING,51,AstraZeneca
NCT07261631,PHASE1,RECRUITING,180,Novartis Pharmaceuticals
NCT07563738,PHASE1/PHASE2,RECRUITING,229,"Orion Corporation, Orion Pharma"
NCT00840125,PHASE2,COMPLETED,4,Meir Medical Center
