"sponsor_name","phase","trial_count","rank_within_phase"
Tianjin Medical University General Hospital,EARLY_PHASE1,2,1
Case Comprehensive Cancer Center,EARLY_PHASE1,2,1
University of Michigan Rogel Cancer Center,EARLY_PHASE1,2,1
Roswell Park Cancer Institute,EARLY_PHASE1,2,1
Biogenea Pharmaceuticals Ltd.,EARLY_PHASE1,1,5
Fujian Cancer Hospital,EARLY_PHASE1,1,5
University of Oklahoma,EARLY_PHASE1,1,5
Henan Cancer Hospital,EARLY_PHASE1,1,5
Second Affiliated Hospital of Nanchang University,EARLY_PHASE1,1,5
Centre Georges Francois Leclerc,EARLY_PHASE1,1,5
Washington University School of Medicine,EARLY_PHASE1,1,5
Massachusetts General Hospital,EARLY_PHASE1,1,5
"Megan Daly, MD",EARLY_PHASE1,1,5
"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",EARLY_PHASE1,1,5
Vanderbilt-Ingram Cancer Center,EARLY_PHASE1,1,5
Yu Fenglei,EARLY_PHASE1,1,5
University of Texas Southwestern Medical Center,EARLY_PHASE1,1,5
Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,EARLY_PHASE1,1,5
Wondercel Biotech (ShenZhen),EARLY_PHASE1,1,5
Taoyuan General Hospital,EARLY_PHASE1,1,5
Karolinska University Hospital,EARLY_PHASE1,1,5
The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,EARLY_PHASE1,1,5
Nutricia Research,EARLY_PHASE1,1,5
Tu Dan,EARLY_PHASE1,1,5
NYU Langone Health,EARLY_PHASE1,1,5
"University of California, Davis",EARLY_PHASE1,1,5
Toronto Sunnybrook Regional Cancer Centre,EARLY_PHASE1,1,5
State University of New York - Upstate Medical University,EARLY_PHASE1,1,5
Massachusetts General Hospital,NA,7,1
National Taiwan University Hospital,NA,6,2
Wake Forest University Health Sciences,NA,5,3
Stanford University,NA,4,4
Technische Universität Dresden,NA,3,5
Ohio State University Comprehensive Cancer Center,NA,3,5
University Hospital Heidelberg,NA,3,5
Shanghai Chest Hospital,NA,3,5
Fox Chase Cancer Center,NA,3,5
